Got 23486 articles
25298061 2014 4
25297724 2014 6
25297721 2014 5
25297534 2014 7
25297335 2014 11
25297013 2014 14
25296962 2014 23
25296850 2014 6
25296187 2013 3
25296034 2014 6
25295394 2014 1
25295236 2014 8
25295174 2014 6
25295166 2014 1
25295041 2014 1
25294941 2014 22
25294605 2014 3
25294349 2014 8
25294180 2014 7
25294128 2014 11
25293387 2014 9
25293386 2014 62
25293385 2014 7
25292459 2014 5
25292124 2014 6
25290686 2014 6
25290685 2014 4
25290340 2014 10
25290087 2014 7
25289269 2013 4
25288760 2014 12
25288675 2014 5
25287799 2014 3
25287751 2014 9
25287574 2014 2
25287319 2014 12
25287201 2015 2
25286328 2014 7
25285901 2014 4
25285443 2014 3
25284515 2014 2
25284204 2014 6
25283989 2014 2
25283907 2014 2
25283627 2014 1
25283534 2014 4
25283433 2014 3
25283302 2014 17
25282548 2014 5
25282482 2014 10
25282423 2014 5
25282040 2014 4
25281946 2014 7
25281722 2014 2
25281659 2014 120
25281580 2014 3
25281483 2014 8
25281377 2014 5
25281351 2014 3
25281191 2014 5
25281188 2014 4
25281100 2015 5
25281069 2015 6
25280804 2014 4
25279926 2014 10
25279843 2014 3
25279659 2014 6
25279638 2014 5
25278772 2014 5
25278426 2014 6
25277803 2014 6
25277744 2014 6
25277739 2014 3
25277698 2014 4
25277654 2014 3
25277121 2014 10
25275614 2014 10
25275581 2014 5
25275249 2014 6
25275020 2014 16
25274978 2014 26
25274894 2014 20
25274609 2014 18
25274442 2014 7
25273547 2014 7
25273424 2014 4
25273297 2014 2
25271677 2014 4
25271499 2014 8
25270900 2014 9
25270821 2014 14
25270669 2014 2
25270665 2014 2
25270628 2014 8
25270587 2014 3
25270197 2014 8
25270082 2014 4
25270054 2014 6
25269791 2014 6
25268807 2014 10
25268746 2014 4
25268115 2014 7
25267782 2014 11
25267642 2014 14
25267602 2014 19
25267325 2014 12
25267300 2014 5
25267218 2014 4
25267070 2014 4
25266953 2014 8
25266840 2014 3
25266559 2014 14
25266404 2014 3
25265505 2014 16
25265102 2014 4
25264332 2014 6
25263954 2014 13
25263879 2014 4
25262940 2014 6
25262927 2014 13
25262544 2014 34
25262235 2014 2
25262024 2014 1
25261935 2014 5
25261786 2014 6
25261508 2014 5
25261269 2014 5
25261243 2014 1
25261151 2014 1
25261121 2014 6
25260943 2014 9
25260877 2014 3
25260639 2014 3
25260589 2014 13
25260368 2014 8
25260338 2014 6
25260035 2014 7
25259740 2014 10
25259652 2014 9
25259589 2014 5
25258631 2014 7
25258323 2014 8
25258079 2014 18
25258023 2014 4
25257871 2014 6
25257250 2014 5
25256691 2014 9
25256431 2014 4
25255715 2014 1
25255324 2014 9
25254549 2014 9
25254050 2014 10
25253969 2014 4
25253492 2014 2
25253351 2014 8
25252947 2014 3
25252168 2014 4
25251317 2014 8
25251035 2014 3
25250924 2014 4
25250876 2014 9
25250671 2014 10
25250200 2014 4
25250046 2014 5
25249979 2014 3
25249669 2014 6
25249664 2014 4
25249642 2014 2
25249625 2015 13
25249562 2014 4
25248395 2014 22
25248357 2014 3
25248036 2014 213
25247813 2014 5
25247310 2014 4
25247292 2014 4
25246862 2014 5
25246805 2014 3
25246540 2014 8
25246537 2014 24
25245572 2014 8
25245002 2014 6
25244618 2014 24
25244529 2014 4
25244370 2014 3
25243647 2014 6
25243107 2014 3
25243031 2014 3
25242913 2014 5
25241993 2014 3
25241739 2014 8
25240994 2014 6
25240716 2014 7
25240514 2014 2
25239922 2014 5
25239892 2014 9
25239768 2014 2
25238854 2014 5
25238741 2014 4
25238525 2014 2
25238345 2014 298
25237313 2014 4
25236993 2014 6
25236722 2014 5
25234961 2014 2
25233894 2014 7
25233101 2014 12
25232846 2014 36
25232741 2014 4
25232248 2014 3
25232198 2014 7
25232144 2014 1
25232142 2014 3
25232001 2014 14
25231870 2014 204
25231539 2014 3
25231219 2014 4
25231187 2014 12
25231186 2014 7
25231107 2014 5
25230360 2014 2
25229996 2014 7
25229657 2014 2
25229268 2014 6
25229256 2014 14
25228987 2014 4
25228684 2014 2
25228392 2014 2
25227926 2014 7
25227599 2014 4
25227398 2014 6
25227335 2014 1
25227220 2014 7
25226873 2014 2
25226804 2014 2
25226799 2014 3
25226408 2014 6
25226057 2014 5
25225395 2014 10
25225288 2014 5
25225167 2014 4
25225114 2014 13
25225056 2014 6
25225051 2014 9
25224815 2014 6
25224792 2014 11
25224464 2014 6
25224106 2014 5
25223951 2014 5
25223745 2014 3
25223212 2014 11
25222612 2014 10
25222342 2014 3
25221569 2014 2
25221466 2014 5
25220847 2014 2
25220798 2014 6
25220731 2014 5
25220574 2014 6
25220250 2014 3
25219973 2014 5
25218449 2014 8
25218392 2014 5
25218380 2014 1
25218357 2014 7
25218319 2014 6
25218212 2014 6
25217999 2014 10
25217961 2014 168
25217529 2014 13
25217178 2014 2
25216581 2014 5
25216274 2014 4
25215983 2014 11
25215487 2014 23
25215450 2014 2
25215184 2014 4
25213860 2014 12
25213376 2014 9
25212989 2014 4
25212906 2014 13
25212881 2014 2
25212395 2014 6
25211495 2014 12
25211268 2014 5
25210839 2014 5
25210023 2014 8
25209984 2014 4
25209939 2014 3
25209848 2014 16
25209705 2014 3
25209358 2014 5
25209348 2014 5
25209283 2014 1
25209013 2014 1
25208850 2014 12
25208738 2014 1
25207973 2014 8
25207460 2014 3
25206972 2014 6
25205477 2014 5
25204637 2014 11
25204387 2014 8
25204271 2014 18
25203659 2014 14
25203510 2014 7
25202844 2014 4
25202634 2014 4
25202281 2014 7
25201902 2014 7
25201705 2014 6
25201555 2014 4
25201044 2014 8
25198261 2014 5
25197808 2014 17
25197798 2014 8
25196723 2014 14
25195525 2014 3
25194436 2014 7
25194341 2014 5
25194276 2014 11
25193974 2014 6
25193555 2014 7
25193491 2014 2
25193283 2014 7
25193266 2014 3
25193242 2014 11
25193176 2014 4
25192938 2014 7
25192412 2014 4
25192083 2014 3
25192037 2014 6
25191896 2014 9
25191341 2014 3
25191303 2014 4
25191276 2014 6
25190795 2014 14
25190789 2014 10
25190744 2014 6
25190133 2014 5
25189885 NA 6
25189701 2014 5
25189530 2014 9
25188864 2014 9
25188222 2014 3
25187961 2014 5
25187573 2014 6
25187364 2014 9
25187353 2014 31
25186745 2014 7
25186626 2014 5
25186272 2014 8
25186069 2014 9
25186061 2014 4
25186001 2014 9
25185860 2014 1
25185751 2014 10
25185657 2014 3
25185130 2014 32
25184989 2014 9
25184686 2014 8
25184248 2014 3
25184212 2014 5
25183883 2014 3
25183881 2014 3
25183677 2014 3
25182495 2014 6
25182465 2014 9
25182250 2014 7
25182062 2014 8
25180228 2014 7
25179808 2014 5
25179657 2014 4
25179171 2014 13
25178826 2014 5
25178655 2014 7
25178532 2014 2
25177545 2014 8
25176646 2014 24
25176507 2014 1
25176147 2014 3
25175607 2014 8
25175398 2014 8
25175333 2014 2
25175292 2014 1
25175196 2014 12
25174917 2014 12
25174625 2014 1
25174443 2014 6
25173947 2014 26
25173771 2014 3
25173649 2014 5
25173310 2014 3
25172886 2014 4
25172739 2015 6
25172393 2014 7
25172378 2014 8
25172329 2014 2
25172149 2014 9
25172120 2014 6
25172115 2014 3
25171455 2014 5
25171396 2014 3
25170597 2014 3
25170159 2014 56
25170099 2014 9
25169562 2014 1
25169240 2014 13
25169175 2014 6
25168934 2014 13
25168869 2014 5
25168388 2014 225
25168290 2014 6
25167130 2014 3
25166659 2013 982
25166592 2014 12
25166277 2014 5
25165182 2014 23
25164488 2014 5
25163924 2014 6
25163916 2014 7
25163766 2014 5
25163749 2014 8
25161886 2014 14
25161294 2014 3
25161238 2014 6
25161186 2014 29
25161014 2014 3
25160855 NA 8
25160818 2014 2
25159415 2014 3
25157406 2014 11
25157273 2014 7
25157171 2014 6
25157092 2014 4
25156997 2014 5
25156905 2014 5
25156858 2014 8
25156482 2014 10
25156194 2014 1
25155997 2014 2
25155599 2014 11
25155546 2014 4
25155433 2014 11
25155183 2014 3
25154786 2014 7
25154734 2014 7
25154732 2014 5
25154681 2014 9
25154621 2014 8
25154338 2014 3
25153531 2014 5
25152638 2014 4
25152621 2014 10
25152230 2014 9
25151614 2014 3
25151610 2014 3
25151548 2014 8
25151547 2014 6
25150776 2014 8
25150631 2014 17
25150450 2014 6
25150216 2014 4
25150183 2014 7
25150123 2014 6
25149709 2014 1
25149592 2014 3
25149517 2014 10
25149356 2014 2
25149183 2014 20
25148977 2015 3
25148371 2014 3
25148367 2014 1
25148344 2014 2
25147548 2014 6
25147367 2014 2
25147328 2014 10
25147235 2014 5
25147004 2014 6
25146933 2014 10
25146707 2014 7
25146689 2014 8
25146295 2014 6
25145663 2014 7
25145437 2014 2
25145414 2014 11
25144795 2014 6
25144706 2014 3
25144635 2014 6
25144528 2014 10
25144376 2014 4
25144271 2014 5
25143863 2014 12
25143462 2014 15
25143433 2014 5
25143353 2014 12
25143190 2014 2
25143058 2014 7
25142899 2014 4
25142161 2014 4
25142148 2014 14
25141124 2014 1
25140536 2014 6
25139769 2014 4
25139586 2014 5
25139195 2014 8
25139193 2014 8
25139192 2014 5
25139149 2014 6
25138802 2014 9
25138733 2014 6
25138666 2014 12
25138551 2014 5
25138391 2014 3
25138184 2014 14
25137074 2014 9
25136442 2014 1
25136407 2014 4
25135859 2014 4
25135653 2014 1
25135383 2014 8
25135185 2014 34
25134117 2014 14
25133574 2014 9
25132545 2014 10
25132530 2014 6
25131982 2014 2
25131495 2014 11
25130497 2014 5
25130133 2014 6
25129855 2014 2
25129021 2014 6
25128929 2014 6
25128903 2014 5
25128877 2014 7
25128344 2014 4
25128170 2014 9
25127489 2014 7
25126763 NA 2
25126394 2014 4
25125648 2014 4
25125480 2014 5
25125069 2014 8
25124503 2014 6
25124340 2014 10
25124135 2014 5
25123657 2014 6
25123636 2014 3
25123220 2014 8
25123126 2014 1
25122688 2014 9
25122598 2014 4
25122555 2014 12
25122388 2014 1
25122138 2014 7
25120517 2014 1
25120495 2014 5
25119658 2014 7
25119443 2014 5
25119042 2014 16
25118690 2014 5
25118311 2014 2
25118277 2014 24
25118146 2014 7
25118140 2014 4
25117402 2014 11
25116381 2014 6
25115761 2014 9
25115430 2014 9
25114629 2014 6
25114296 2014 8
25114164 2014 7
25114118 2014 15
25114064 2014 1
25114056 2014 4
25113925 2014 7
25113139 2014 7
25113095 2014 6
25113055 2014 6
25112703 2014 3
25112700 2014 6
25112669 2014 3
25110954 2014 1
25110789 2014 3
25110065 2014 4
25109295 2014 7
25108686 2014 46
25108579 2014 10
25107947 2014 9
25107278 NA 5
25106676 2014 8
25105618 2014 5
25105234 2014 4
25105011 2014 4
25104880 2014 8
25104851 2014 109
25104632 2014 52
25104370 2014 1
25104076 2014 2
25103969 2014 10
25103963 2014 6
25103229 2014 3
25103197 2014 12
25103176 2014 20
25102157 2014 10
25102015 2014 2
25101899 2014 7
25101818 2014 4
25101183 2014 4
25101109 2014 6
25101044 2014 1
25100606 2014 3
25100601 2014 8
25099941 2014 9
25099543 2014 17
25099541 2014 7
25099366 2014 2
25098736 2014 2
25098489 2014 10
25098184 2014 8
25096880 2014 7
25096258 2014 6
25095779 2014 5
25094060 2014 5
25093819 2014 64
25093360 2014 4
25092905 2014 13
25092792 2014 11
25092712 2014 3
25092049 2014 9
25092034 2014 2
25091439 2014 7
25091352 NA 3
25091351 NA 3
25091025 2014 2
25090614 2014 4
25090282 2014 4
25090168 2014 6
25089896 2014 4
25088694 2014 8
25088021 2014 4
25087596 2014 10
25087453 2014 5
25086504 2014 11
25086446 2014 10
25086347 2014 3
25086208 2014 2
25086040 2014 8
25085921 2014 15
25085840 2014 5
25085672 2014 6
25085468 2014 5
25085357 2014 17
25084517 2014 7
25084516 2014 2
25084072 2014 3
25083869 2014 18
25083739 2014 6
25082954 2014 9
25082850 2014 3
25082684 2014 2
25082513 2014 8
25082483 2014 12
25082060 2014 4
25082025 2014 8
25081468 2014 5
25081349 2014 5
25081007 2014 7
25080537 2014 19
25080473 2014 2
25080457 2014 8
25080293 2014 11
25080191 2014 8
25079859 2014 2
25079453 2014 4
25078899 2014 8
25078716 2014 5
25078495 2014 12
25078408 2014 2
25078384 2014 3
25077918 2014 5
25077846 2014 7
25077634 2014 5
25077178 2014 10
25076883 2014 3
25076882 2014 3
25076056 2014 4
25075320 2014 4
25075276 2014 7
25074768 2014 6
25074762 2014 5
25074746 2014 2
25074455 2014 3
25074397 2014 5
25072914 2014 21
25071839 2014 4
25071812 2014 4
25071300 2014 5
25070769 2014 3
25070715 2014 5
25070348 2014 9
25070180 2014 7
25069872 2014 7
25069789 2014 5
25068819 2014 13
25068458 2014 6
25068274 2014 13
25066559 2014 13
25066330 2014 4
25066007 2014 10
25065882 2014 4
25065719 2014 2
25065596 2014 12
25065587 2014 9
25065375 2014 3
25064776 2014 4
25064736 2014 16
25064686 2014 8
25064674 2014 6
25064467 2014 4
25064412 2014 5
25064180 2014 2
25063875 2014 7
25063827 2014 17
25063810 2014 5
25063337 2014 5
25063247 2014 11
25062974 2014 3
25062867 2014 5
25062845 2014 18
25062500 2014 6
25062001 2014 2
25062000 2014 4
25061393 2014 2
25061250 2014 7
25061197 2014 13
25061139 2014 43
25061126 2014 16
25060638 2014 6
25060564 2014 7
25060538 2014 6
25060202 2014 6
25060092 2014 2
25059759 2014 7
25059609 2014 4
25058803 2014 4
25058765 NA 4
25058364 2014 2
25057876 2014 3
25057801 2014 2
25057460 2014 5
25057335 2014 3
25057115 2014 7
25056879 2014 8
25056772 2014 5
25056742 2014 4
25056691 2014 6
25056593 2014 6
25056416 2014 2
25056287 2014 6
25056122 2014 11
25056012 2014 7
25055902 2014 2
25055078 2014 6
25054888 2014 1
25054000 2014 3
25053812 2014 18
25053773 2014 17
25053751 2014 5
25053745 2014 9
25053638 2014 15
25053587 2014 11
25053425 2014 10
25053359 2014 5
25053038 2015 6
25052712 2014 3
25052366 2014 6
25051528 2014 5
25051214 2014 8
25051117 2014 2
25051008 2014 3
25050898 2014 6
25050162 2014 5
25050049 2014 4
25049343 2014 6
25049132 2014 8
25048400 2014 6
25048250 2014 10
25048038 2014 2
25047765 2014 6
25047715 2014 2
25047001 2014 3
25046348 2014 12
25046202 2014 6
25046198 2014 7
25045810 2014 8
25045654 2014 5
25045537 2014 6
25045347 2014 7
25044789 2014 5
25044492 2014 7
25044437 2014 10
25043963 2014 11
25043946 2014 13
25043937 2014 9
25043779 2014 4
25043062 2014 17
25043035 2014 27
25043022 2014 23
25042985 2014 8
25042931 2014 11
25042850 2014 3
25042234 2014 17
25042216 2014 2
25042103 2014 10
25041815 2014 7
25041567 2014 6
25041565 2014 3
25041349 2014 10
25041343 2014 9
25040821 2014 5
25040758 2014 15
25040158 2014 4
25039782 2014 2
25039260 2014 7
25039237 2014 5
25038927 2014 3
25038668 2014 3
25038482 2014 8
25038114 2014 11
25037628 2014 12
25035157 2014 3
25034714 2014 7
25034421 2014 9
25034387 2014 5
25033974 2014 10
25033206 2014 8
25033196 2014 9
25032076 2014 2
25031680 2014 5
25030708 2014 10
25030699 2014 11
25030278 2014 3
25030169 2014 9
25028652 2014 4
25028505 2014 2
25027758 2014 7
25027387 2014 6
25027142 2014 9
25026461 2014 3
25026373 2014 7
25025999 2014 10
25025819 2014 4
25025602 2014 3
25025400 2014 4
25025215 2014 7
25024918 2014 5
25024379 2014 6
25024305 2014 4
25024169 2014 12
25024057 2014 9
25024050 2014 2
25023794 2014 8
25023583 2014 13
25023466 2014 1
25023330 2014 6
25023278 2014 7
25022695 2014 2
25020129 2014 5
25020007 2014 5
25020001 2014 4
25019363 2014 4
25018876 2014 4
25018504 2014 5
25018316 2014 6
25018288 2014 12
25017701 2014 4
25017608 2014 8
25017320 2014 10
25017129 2014 2
25017127 2014 7
25017051 2014 3
25016288 2014 8
25016162 2014 2
25015784 2014 7
25015581 2014 5
25015427 2014 7
25015382 2014 35
25015203 2014 8
25014588 2014 8
25014260 2014 4
25013148 2014 8
25013130 2014 6
25013093 2014 1
25013089 2014 16
25012681 2014 3
25011450 2014 156
25010496 2014 4
25010252 2014 9
25010148 2014 4
25009489 2014 4
25009240 2014 6
25009170 2014 11
25008860 2014 10
25008107 2014 8
25007357 2014 6
25007246 2014 5
25007141 2014 24
25007045 2014 10
25006965 2014 4
25006012 2014 34
25005670 NA 8
25005488 2014 3
25005070 2014 2
25005046 2014 5
25004991 2014 4
25004246 2014 8
25004234 2014 7
25003720 2014 11
25003588 2014 6
25003219 2014 5
25002861 2014 4
25002407 2014 3
25001969 2014 4
25001462 2014 9
25000530 2014 9
25000525 2014 3
25000470 2014 5
25000094 2014 5
24999984 2014 2
24999238 2014 6
24999004 2014 4
24998781 2014 7
24998777 2014 10
24997787 2014 54
24997786 2014 39
24997410 2014 7
24997321 2014 8
24997319 2014 5
24997272 2014 4
24997033 2014 1
24997017 2014 13
24996265 2014 8
24995963 2014 5
24995585 2014 1
24995290 2014 4
24995126 2014 3
24995009 2014 5
24994928 2014 16
24994643 2014 17
24993817 2014 19
24993766 2014 39
24993494 2014 6
24993331 2014 9
24993078 2014 4
24992475 2014 11
24992329 2014 9
24992222 2014 2
24991913 2014 6
24991911 2014 9
24991745 2014 8
24991417 2014 2
24990765 2014 1
24990611 2014 20
24990298 NA 2
24990076 2014 14
24989492 2014 9
24988290 2014 9
24988284 2014 4
24988276 2014 8
24988143 2014 5
24987497 2014 5
24987128 NA 3
24987101 2014 8
24987077 2014 3
24986922 2014 17
24986784 2014 4
24986542 NA 3
24986531 2014 5
24985894 2014 6
24985637 2014 7
24985636 2014 5
24984906 2014 2
24984776 2014 2
24984278 2014 5
24984055 2014 7
24983235 2014 16
24982426 2014 5
24982213 NA 9
24982187 2014 5
24982147 2014 27
24981634 2014 2
24981077 2014 79
24981070 2014 7
24979287 2014 7
24979144 2014 8
24978666 2014 6
24978618 2014 4
24977981 2014 2
24977692 2014 4
24977638 2014 7
24976611 2014 9
24976522 2014 5
24975199 2014 8
24974381 2014 11
24974253 2014 2
24974252 2014 108
24974224 2014 2
24974206 2014 10
24973695 2014 7
24973684 2014 5
24973614 2014 8
24973247 2014 1
24973209 2014 5
24972325 2014 8
24972200 2014 2899
24972130 2014 6
24971888 2014 5
24971663 2014 4
24970775 2014 6
24970068 2014 11
24969771 2014 7
24969589 2014 8
24967817 2014 9
24967660 2014 3
24967383 2014 9
24966860 2014 3
24966694 2014 7
24966352 2014 1
24965447 2014 6
24964401 2014 13
24963862 2014 3
24963378 2014 6
24963134 2014 8
24963023 2014 5
24962705 2014 4
24962579 2014 6
24961812 2014 3
24961797 2014 3
24961691 2014 1
24961667 2014 4
24961228 2014 2
24960637 2014 4
24960522 2014 15
24960441 2014 6
24959948 2014 9
24959837 2014 7
24959114 2014 3
24959064 2014 5
24958861 2014 13
24958689 2014 2
24958546 2014 5
24958170 2014 4
24957782 2014 5
24957656 2014 4
24957577 2014 5
24957145 2014 12
24956197 2014 6
24955878 2014 4
24954780 2014 2
24954063 2014 4
24953749 2014 3
24953533 2014 6
24953457 2014 3
24953275 2014 10
24953055 2014 9
24952957 2014 2
24952909 2014 28
24952863 2014 13
24952745 2014 235
24952132 2014 3
24951872 2014 3
24951818 2014 10
24951814 2014 4
24951812 2014 12
24951394 2014 4
24950005 2014 4
24949196 2014 7
24948831 2014 9
24948693 2014 23
24948688 2014 18
24947859 2014 3
24947746 2014 4
24947631 2014 3
24947620 2014 5
24947509 2014 6
24946798 2014 5
24945799 2014 10
24945765 2014 2
24945747 2014 5
24945411 2014 6
24945381 2014 5
24945224 2014 3
24944873 2014 4
24944746 2014 6
24944139 2014 4
24944138 2014 3
24944137 2014 4
24944136 2014 7
24944133 2014 6
24944130 2014 5
24944128 2014 9
24943594 2014 182
24943445 2014 2
24943400 2014 9
24943344 2014 158
24942870 2014 7
24942867 2014 8
24942843 2014 8
24942783 2014 3
24942370 2014 9
24942234 2014 4
24941968 2014 10
24941328 2014 3
24941082 2014 4
24940954 2014 2
24940029 2014 15
24939949 2014 11
24939677 2014 16
24939589 2014 5
24939438 2014 4
24938846 2014 8
24938314 2014 3
24937367 2014 8
24937190 2014 2
24936766 2014 4
24936744 2014 4
24936568 2014 4
24936395 2014 4
24936298 2014 5
24936205 2014 1
24936092 2014 9
24935932 2014 6
24935817 2014 5
24935122 2014 9
24934907 2014 8
24934863 2014 5
24934296 2014 6
24933419 2014 4
24932908 2014 2
24932732 2014 8
24931692 2014 4
24930389 2014 4
24929951 2014 8
24929829 2014 17
24929448 2014 6
24929431 2014 8
24928051 2014 8
24927736 2014 167
24926686 2014 9
24926236 2014 2
24925836 2014 9
24925304 2014 6
24924356 2014 23
24923234 2014 1
24922624 2014 11
24921897 2014 4
24921405 2014 1
24919804 2014 16
24918332 NA 3
24918158 2014 7
24917978 2013 2
24917149 2014 11
24917120 2014 14
24917026 2014 5
24915177 2014 5
24915103 2014 7
24914777 2014 8
24914522 2014 6
24914483 2014 6
24914239 2014 9
24914054 2014 9
24912991 2014 3
24912856 2014 14
24912589 2014 6
24911547 2014 5
24911382 2014 4
24910642 2014 4
24910153 2014 4
24909979 2014 1
24909643 2014 9
24909561 2014 6
24909488 NA 4
24909387 2014 6
24909326 2014 5
24909311 2014 3
24909207 2014 7
24909158 2014 5
24909097 2014 5
24908591 2014 3
24908553 2014 3
24907691 2014 6
24907461 2014 2
24907356 2014 5
24907340 2014 5
24907303 2014 5
24907023 2014 11
24906845 2014 4
24906822 2014 31
24906692 2014 5
24906552 2014 6
24906416 2014 4
24906368 2014 4
24906367 2014 7
24906365 2014 6
24905740 2014 10
24905430 2014 9
24905164 2014 2
24905142 2014 7
24905068 2014 4
24905052 2014 5
24904709 2014 6
24904427 2014 5
24904274 2014 6
24904266 2014 4
24904168 2014 73
24903867 2014 7
24903866 2014 7
24903694 2014 6
24903618 2014 7
24903544 2014 7
24903461 2014 9
24903323 2014 11
24903230 2014 8
24903207 2014 7
24903076 2014 6
24903024 2014 6
24902992 2014 7
24902738 2014 12
24901698 2014 9
24901369 2014 5
24901252 2014 23
24900829 2014 7
24900634 2013 6
24899308 2014 4
24898811 2014 2
24898238 2014 1
24898236 2014 13
24897937 2014 9
24897033 2014 6
24896608 2014 8
24896149 2014 25
24895680 2014 7
24895383 2014 5
24894097 2014 4
24894096 2014 2
24893972 2013 1
24893691 2014 5
24893347 2014 5
24892994 2014 53
24892549 2014 23
24891932 2014 5
24891829 2014 34
24891497 2014 3
24891019 2014 13
24891012 2014 10
24890014 2014 4
24889999 2014 6
24889989 2014 4
24889930 2014 7
24889893 2014 4
24889870 2014 8
24889798 2014 8
24889322 2014 7
24889046 2014 1
24888694 2014 2
24888644 2014 9
24887010 2014 6
24886373 2014 7
24886137 2014 8
24886068 2014 3
24885904 2014 6
24885055 2014 6
24884817 2014 5
24883122 2014 22
24883065 2014 6
24882579 2014 5
24882520 2014 4
24882173 2014 6
24882010 2014 16
24881971 NA 8
24881045 2014 5
24880832 2014 43
24880762 NA 11
24880354 2014 3
24879630 2014 43
24879388 2014 5
24879373 2014 6
24879032 2014 4
24878745 2014 12
24878732 2014 4
24878442 2014 2
24878388 2014 8
24878269 2014 5
24878032 NA 8
24877634 2014 5
24877149 2014 3
24877078 2014 9
24876774 2014 10
24876418 2014 5
24876410 2014 9
24876356 2014 9
24875851 2014 4
24875399 2014 2
24875052 2014 6
24874572 2014 10
24874564 2014 7
24872415 2014 7
24872286 2014 2
24872244 2014 3
24872239 2014 2
24871545 2014 18
24871022 2014 4
24870935 2014 8
24870718 2014 4
24870544 2014 9
24870266 2014 5
24869862 2014 1
24869660 2014 2
24869508 2014 4
24869479 2014 3
24868437 2014 3
24867990 2014 7
24867696 2014 5
24867693 2014 10
24867422 2014 8
24866348 2014 5
24866127 2014 19
24865979 2014 4
24865601 2014 8
24865394 2014 7
24865312 2014 18
24865274 2014 5
24865246 2014 2
24863969 2014 10
24863937 2014 6
24863892 2014 2
24863041 2014 5
24862511 2014 3
24862283 2014 7
24862095 2014 5
24861947 2014 2
24861854 2014 8
24861583 2014 10
24861446 2014 10
24861053 2014 6
24860617 2014 7
24860587 2014 2
24860433 2014 4
24860173 2014 6
24860156 2014 6
24859997 2014 1
24859358 2014 4
24858781 2014 3
24858720 2014 6
24857666 2014 11
24857373 2014 3
24856283 NA 10
24855170 2014 3
24855138 2014 5
24855113 2014 7
24854874 2014 163
24854252 2014 4
24853977 2014 9
24853895 2014 1
24853743 2014 3
24853171 2014 7
24853166 2014 6
24852848 2014 86
24852821 2014 4
24852697 2014 4
24852577 2014 11
24851141 2013 4
24850566 2014 8
24850430 2014 13
24850311 2014 13
24849861 2014 6
24849104 2014 15
24848623 2014 6
24848194 2014 7
